City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Corinto,GR,2022-11-30 04:11:55,37.9407,22.9573,52.9,93,100,2.86
101,Hithadhoo,MV,2022-11-30 04:13:54,-0.6,73.0833,81.36,74,98,5.57
102,Nangomba,TZ,2022-11-30 04:13:54,-10.9,38.5,73.74,78,44,3.02
103,Opuwo,NA,2022-11-30 04:13:54,-18.0607,13.84,70.52,43,44,2.53
104,Hambantota,LK,2022-11-30 04:13:55,6.1241,81.1185,80.69,66,41,8.12
105,Yongan,CN,2022-11-30 04:13:55,39.6957,113.6871,9.36,22,0,17.4
106,Nelson Bay,AU,2022-11-30 04:13:55,-32.7167,152.15,71.65,59,45,4.0
107,Isangel,VU,2022-11-30 04:13:55,-19.55,169.2667,85.46,67,44,5.06
108,Husavik,IS,2022-11-30 04:13:56,66.0449,-17.3389,36.12,85,76,14.7
109,Lagoa,PT,2022-11-30 04:13:56,39.05,-27.9833,61.99,69,100,6.8
110,Kavaratti,IN,2022-11-30 04:13:56,10.5669,72.642,81.43,70,0,1.34
111,Longonjo,AO,2022-11-30 04:13:57,-12.9067,15.2533,60.93,98,100,0.72
112,Kawalu,ID,2022-11-30 04:13:57,-7.3817,108.2082,81.05,67,100,4.94
113,Zlitan,LY,2022-11-30 04:13:57,32.4674,14.5687,60.17,70,74,19.73
114,Ribeira Grande,PT,2022-11-30 04:13:58,38.5167,-28.7,60.78,91,69,1.99
115,Bluff,NZ,2022-11-30 04:13:58,-46.6,168.3333,53.04,77,59,19.69
116,Labytnangi,RU,2022-11-30 04:13:58,66.6572,66.4183,2.1,98,97,5.21
117,Bataipora,BR,2022-11-30 04:13:58,-22.2953,-53.2711,66.43,91,54,4.79
118,Nueva Guinea,NI,2022-11-30 04:13:59,11.6876,-84.4562,70.57,98,100,4.23
119,Hobart,AU,2022-11-30 04:13:59,-42.8794,147.3294,66.06,48,75,16.11
120,East London,ZA,2022-11-30 04:13:59,-33.0153,27.9116,70.74,88,0,4.61
121,Morant Bay,JM,2022-11-30 04:14:00,17.8815,-76.4093,80.22,81,7,8.68
122,Blagoyevo,RU,2022-11-30 04:14:00,63.3667,47.9167,23.43,97,100,4.79
123,Nicoya,CR,2022-11-30 04:14:00,10.1483,-85.452,73.6,89,93,2.04
