City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Vetlanda,SE,57.4289,15.0776,15.66,97,73,5.66,broken clouds
144,Desaguadero,PE,-16.5656,-69.0417,51.12,69,96,11.3,overcast clouds
145,Pevek,RU,69.7008,170.3133,-11.78,98,100,18.54,light snow
146,Vila Velha,BR,-20.3297,-40.2925,79.95,89,0,4.61,clear sky
147,Saint-Philippe,RE,-21.3585,55.7679,76.59,85,74,12.59,light rain
148,Lumeje,AO,-11.55,20.7833,65.19,94,100,7.18,overcast clouds
149,Hermanus,ZA,-34.4187,19.2345,71.8,92,100,15.99,light rain
150,Takaka,NZ,-40.85,172.8,66.56,56,0,4.81,clear sky
151,Tarakan,ID,3.3,117.6333,79.11,78,100,1.23,moderate rain
152,Kavieng,PG,-2.5744,150.7967,82.85,75,25,8.81,light rain
153,Qaanaaq,GL,77.484,-69.3632,-13.32,70,0,10.65,clear sky
154,Saskylakh,RU,71.9167,114.0833,-5.69,94,100,13.04,overcast clouds
155,Berlevag,NO,70.8578,29.0864,19.4,62,0,18.41,clear sky
156,Eydhafushi,MV,5.1033,73.0708,80.55,80,92,19.1,overcast clouds
157,Vila,PT,42.0304,-8.1588,41.7,94,93,4.68,overcast clouds
158,Xai-Xai,MZ,-25.0519,33.6442,76.68,87,74,10.42,light rain
159,Chuy,UY,-33.6971,-53.4616,81.63,53,0,10.42,clear sky
160,Mahebourg,MU,-20.4081,57.7,76.24,83,75,6.91,broken clouds
161,Benghazi,LY,32.1167,20.0667,66.27,71,65,9.42,broken clouds
162,Nha Trang,VN,12.25,109.1833,73.4,90,91,7.0,overcast clouds
163,Dresden,DE,51.0509,13.7383,30.99,92,75,5.75,light snow
164,La Palma,US,33.8464,-118.0467,60.91,64,75,17.27,broken clouds
165,Carpentras,FR,44.0833,5.1667,29.03,58,4,4.0,clear sky
166,Lagunas,PE,-5.2269,-75.6753,83.7,65,99,4.5,overcast clouds
167,Mar Del Plata,AR,-38.0023,-57.5575,77.02,65,20,9.22,few clouds
168,Thunder Bay,CA,48.4001,-89.3168,26.58,68,20,3.44,few clouds
169,Banda Aceh,ID,5.5577,95.3222,76.91,81,100,7.96,overcast clouds
170,Mahasamund,IN,21.1,82.1,66.72,54,16,2.13,few clouds
171,Khasan,RU,42.4308,130.6434,27.18,91,100,2.73,light snow
172,Wajima,JP,37.4,136.9,44.19,63,89,7.43,overcast clouds
173,Talnakh,RU,69.4865,88.3972,-20.87,99,100,10.8,light snow
174,Mogadishu,SO,2.0371,45.3438,79.0,76,6,16.13,clear sky
175,Nago,JP,26.5881,127.9761,65.25,73,46,14.72,scattered clouds
176,Delhi,IN,28.6667,77.2167,57.29,77,0,3.44,mist
177,Waipawa,NZ,-41.4122,175.5153,67.33,55,0,5.53,clear sky
178,Meulaboh,ID,4.1363,96.1285,74.21,91,100,2.35,light rain
179,Kencong,ID,-8.2833,113.3667,75.27,90,83,1.95,broken clouds
180,La Rioja,ES,42.25,-2.5,31.78,99,100,1.39,overcast clouds
181,Pital,CO,2.2665,-75.8044,75.47,73,66,5.57,broken clouds
182,Atambua,ID,-9.1061,124.8925,75.04,81,100,1.57,overcast clouds
183,Mufumbwe,ZM,-13.6833,24.8,64.17,98,100,2.62,overcast clouds
184,Ruteng,ID,-8.6136,120.4721,62.6,91,76,1.21,broken clouds
185,Bitung,ID,1.4451,125.1824,76.05,83,89,5.1,overcast clouds
186,Nelson Bay,AU,-32.7167,152.15,78.1,72,100,7.0,light rain
187,Aksu,CN,41.1231,80.2644,23.11,58,7,1.52,clear sky
188,Tanout,NE,14.9709,8.8879,67.59,17,72,11.74,broken clouds
189,Provideniya,RU,64.3833,-173.3,19.51,79,100,20.13,snow
190,Saint-Francois,FR,46.4154,3.9054,24.24,93,92,5.75,overcast clouds
191,Clyde River,CA,70.4692,-68.5914,-3.77,84,0,2.3,clear sky
192,Narsaq,GL,60.9167,-46.05,30.42,65,23,9.69,few clouds
193,Cidreira,BR,-30.1811,-50.2056,74.16,89,2,14.0,clear sky
194,Huilong,CN,31.8111,121.655,44.78,74,98,9.84,overcast clouds
195,Bani,DO,18.2833,-70.3333,81.84,69,27,12.5,scattered clouds
196,Tazovskiy,RU,67.4667,78.7,-13.22,99,99,8.79,overcast clouds
197,Koumac,NC,-20.5667,164.2833,82.09,68,1,3.53,clear sky
198,Mainburg,DE,48.65,11.7833,27.32,86,100,3.44,light snow
199,Ribeira Grande,PT,38.5167,-28.7,65.77,88,40,23.02,light rain
200,Laguna,US,38.421,-121.4238,55.38,69,0,16.11,clear sky
201,Yulara,AU,-25.2406,130.9889,66.96,42,0,16.22,clear sky
202,Matagami,CA,49.7502,-77.6328,8.71,78,0,4.61,clear sky
203,Sinnamary,GF,5.3833,-52.95,76.75,85,100,6.22,overcast clouds
204,Loiza,PR,18.4313,-65.8802,80.6,70,40,8.05,scattered clouds
205,Katsuura,JP,35.1333,140.3,49.14,62,100,21.09,overcast clouds
206,Coquimbo,CL,-29.9533,-71.3436,69.53,68,0,12.66,clear sky
207,La Reforma,MX,25.0833,-108.05,78.58,32,0,10.89,clear sky
208,Noumea,NC,-22.2763,166.4572,82.38,99,31,11.9,scattered clouds
209,Tabuk,PH,17.4189,121.4443,69.01,88,99,1.81,overcast clouds
210,Wellington,NZ,-41.2866,174.7756,67.91,74,20,17.27,few clouds
211,Yangjiang,CN,21.85,111.9667,52.97,74,73,7.0,broken clouds
212,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,78,0,10.0,clear sky
213,Valderrama,PH,11.4059,122.0837,73.58,83,100,3.31,overcast clouds
214,Takoradi,GH,4.8845,-1.7554,79.52,82,57,9.53,broken clouds
215,Hobyo,SO,5.3505,48.5268,78.03,68,86,19.35,overcast clouds
216,Kruisfontein,ZA,-34.0033,24.7314,70.88,98,99,6.91,overcast clouds
217,Kiruna,SE,67.8557,20.2251,4.12,92,100,3.44,overcast clouds
218,Yerofey Pavlovich,RU,53.9667,121.9667,-3.26,98,100,3.04,light snow
219,Seoul,KR,37.5683,126.9778,29.64,84,0,3.44,clear sky
220,Onguday,RU,50.75,86.15,5.59,97,100,0.83,overcast clouds
221,Lagoa,PT,39.05,-27.9833,62.4,85,0,35.32,clear sky
222,Benguela,AO,-12.5763,13.4055,76.48,81,87,4.32,overcast clouds
223,Santo Antonio Do Amparo,BR,-20.9464,-44.9189,69.78,82,91,2.15,light rain
224,Westport,US,41.1415,-73.3579,39.74,84,100,11.5,light snow
225,Malakal,SS,9.5334,31.6605,77.79,26,2,5.57,clear sky
226,Santa Maria,BR,-29.6842,-53.8069,92.5,29,0,4.61,clear sky
227,Buenos Aires,AR,-34.6132,-58.3772,96.48,54,40,13.8,scattered clouds
228,Kasungu,MW,-13.0333,33.4833,66.58,84,2,4.63,clear sky
229,Esperance,AU,-33.8667,121.9,57.34,62,5,5.77,clear sky
230,Mandalgovi,MN,45.7625,106.2708,2.84,55,15,18.48,few clouds
231,Rincon,US,32.296,-81.2354,67.96,69,40,4.61,scattered clouds
232,Laharpur,IN,27.7167,80.9,59.95,44,20,7.29,few clouds
233,San Quintin,MX,30.4833,-115.95,62.15,63,74,8.16,broken clouds
234,Kabompo,ZM,-13.5927,24.2008,65.98,95,100,2.59,light rain
235,Constitucion,CL,-35.3333,-72.4167,65.71,60,0,23.02,clear sky
236,Concarneau,FR,47.875,-3.9225,32.79,73,97,3.91,overcast clouds
237,Buin,CL,-33.7333,-70.75,96.42,8,99,9.98,overcast clouds
238,Emerald,AU,-23.5333,148.1667,76.33,81,19,13.76,few clouds
239,Gondar,ET,12.6,37.4667,57.42,57,40,3.62,scattered clouds
240,Ilulissat,GL,69.2167,-51.1,0.21,73,90,5.46,overcast clouds
241,Saldanha,ZA,-33.0117,17.9442,68.05,79,99,11.48,light rain
242,Marquette,US,46.5333,-87.6335,31.03,93,99,3.98,overcast clouds
243,Dasoguz,TM,41.8363,59.9666,10.35,67,0,6.91,clear sky
244,Asau,RO,46.4333,26.4,36.52,95,100,3.51,light rain
245,Thinadhoo,MV,0.5333,72.9333,81.07,78,21,16.44,few clouds
246,Ahipara,NZ,-35.1667,173.1667,68.72,62,97,7.56,overcast clouds
247,Coihaique,CL,-45.5752,-72.0662,57.15,58,75,5.75,light rain
248,Lavrentiya,RU,65.5833,-171.0,10.42,89,26,14.9,scattered clouds
249,Beringovskiy,RU,63.05,179.3167,-1.57,79,16,10.33,few clouds
250,Tessalit,ML,20.1986,1.0114,72.19,16,54,9.04,broken clouds
251,Lardos,GR,36.0942,28.0157,64.22,81,45,21.72,light rain
252,Bemidji,US,47.4736,-94.8803,32.05,83,0,5.75,clear sky
253,Shingu,JP,33.7333,135.9833,42.01,77,0,7.58,clear sky
