City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
84,Bengkulu,ID,74.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
85,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
89,Kawalu,ID,70.88,broken clouds,-7.3817,108.2082,West Jontor
90,Hithadhoo,MV,81.66,overcast clouds,-0.6,73.0833,Scoop Guest House
95,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
96,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
97,Bahir Dar,ET,63.36,light rain,11.5936,37.3908,"Delano Hotel, Bahir Dar"
98,Atuona,PF,78.13,few clouds,-9.8,-139.0333,Villa Enata
99,Santa Cruz,BO,80.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
100,Makueni,KE,62.29,overcast clouds,-1.8041,37.6203,WOTE TECHNICAL HOSTELS
101,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
102,Ballina,AU,76.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
103,Gamboma,CG,74.62,overcast clouds,-1.8764,15.8644,Residence N'Keni
104,Angoche,MZ,79.14,overcast clouds,-16.2325,39.9086,Guest House HESADA
109,Richards Bay,ZA,72.25,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
110,Rockhampton,AU,78.69,scattered clouds,-23.3833,150.5,Mercure Rockhampton
113,Hukuntsi,BW,73.18,light rain,-24.0,21.75,Its me guest house
115,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
120,Victoria,HK,62.26,overcast clouds,22.2855,114.1577,Mini Central
121,Makamba,BI,62.53,overcast clouds,-4.1348,29.804,Inanzerwe Hotel
126,Namatanai,PG,81.59,light rain,-3.6667,152.4333,Seagulls Inn Namatani
127,Piacabucu,BR,78.17,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
128,Namibe,AO,68.32,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
129,Honiara,SB,82.71,broken clouds,-9.4333,159.95,Heritage Park Hotel
130,Salinopolis,BR,79.88,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
134,Point Pedro,LK,75.94,broken clouds,9.8167,80.2333,Gtr homes
135,Conceicao Do Araguaia,BR,76.59,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
137,Carutapera,BR,78.75,broken clouds,-1.195,-46.02,Lidera
138,San Policarpo,PH,76.35,overcast clouds,12.1791,125.5072,Agapita M. Nicart
140,Caborca,MX,70.03,broken clouds,30.5838,-111.101,Hotel Los Lagos
141,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
142,Saint-Pierre,RE,76.68,scattered clouds,-21.3393,55.4781,Alize Plage
146,Vila Velha,BR,79.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
147,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,Le four à pain
148,Lumeje,AO,65.19,overcast clouds,-11.55,20.7833,
149,Hermanus,ZA,71.8,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
150,Takaka,NZ,66.56,clear sky,-40.85,172.8,Golden Bay Motels
151,Tarakan,ID,79.11,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
152,Kavieng,PG,82.85,light rain,-2.5744,150.7967,Nusa Island Retreat
156,Eydhafushi,MV,80.55,overcast clouds,5.1033,73.0708,Soneva Fushi
158,Xai-Xai,MZ,76.68,light rain,-25.0519,33.6442,Complexo da Familia
159,Chuy,UY,81.63,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
160,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
161,Benghazi,LY,66.27,broken clouds,32.1167,20.0667,Tibesti Hotel
162,Nha Trang,VN,73.4,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
164,La Palma,US,60.91,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
166,Lagunas,PE,83.7,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
167,Mar Del Plata,AR,77.02,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
169,Banda Aceh,ID,76.91,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
170,Mahasamund,IN,66.72,few clouds,21.1,82.1,mauhari bhantha mahasamund
174,Mogadishu,SO,79.0,clear sky,2.0371,45.3438,Hotel Juba
175,Nago,JP,65.25,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
177,Waipawa,NZ,67.33,clear sky,-41.4122,175.5153,Tora Coastal Walk
178,Meulaboh,ID,74.21,light rain,4.1363,96.1285,Kost Pria
179,Kencong,ID,75.27,broken clouds,-8.2833,113.3667,GUBUK SUGIANTO
181,Pital,CO,75.47,broken clouds,2.2665,-75.8044,Finca el Rebaño Vida el Uvital
182,Atambua,ID,75.04,overcast clouds,-9.1061,124.8925,Ros Muskanan
183,Mufumbwe,ZM,64.17,overcast clouds,-13.6833,24.8,
184,Ruteng,ID,62.6,broken clouds,-8.6136,120.4721,Hotel FX 72
185,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
186,Nelson Bay,AU,78.1,light rain,-32.7167,152.15,Mantra Nelson Bay
188,Tanout,NE,67.59,broken clouds,14.9709,8.8879,
193,Cidreira,BR,74.16,clear sky,-30.1811,-50.2056,Hotel Castelo
195,Bani,DO,81.84,scattered clouds,18.2833,-70.3333,Hospedaje Henriquez
197,Koumac,NC,82.09,clear sky,-20.5667,164.2833,Le Monitel
199,Ribeira Grande,PT,65.77,light rain,38.5167,-28.7,Quinta da Meia Eira
201,Yulara,AU,66.96,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
203,Sinnamary,GF,76.75,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
204,Loiza,PR,80.6,scattered clouds,18.4313,-65.8802,Vacation Realty
206,Coquimbo,CL,69.53,clear sky,-29.9533,-71.3436,Hotel San Juan
207,La Reforma,MX,78.58,clear sky,25.0833,-108.05,Hotel Reforma
208,Noumea,NC,82.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
209,Tabuk,PH,69.01,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
210,Wellington,NZ,67.91,few clouds,-41.2866,174.7756,CityLife Wellington
212,Los Llanos De Aridane,ES,68.13,clear sky,28.6585,-17.9182,Valle Aridane
213,Valderrama,PH,73.58,overcast clouds,11.4059,122.0837,Anna Sophie Hostel
214,Takoradi,GH,79.52,broken clouds,4.8845,-1.7554,Raybow International Hotel
215,Hobyo,SO,78.03,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
216,Kruisfontein,ZA,70.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
221,Lagoa,PT,62.4,clear sky,39.05,-27.9833,Casa Das Faias
222,Benguela,AO,76.48,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
223,Santo Antonio Do Amparo,BR,69.78,light rain,-20.9464,-44.9189,Hotel Pousada Dos Viajantes
225,Malakal,SS,77.79,clear sky,9.5334,31.6605,Nile Palace Hotel
228,Kasungu,MW,66.58,clear sky,-13.0333,33.4833,Mame Motel
231,Rincon,US,67.96,scattered clouds,32.296,-81.2354,Days Inn Rincon
233,San Quintin,MX,62.15,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
